id,property_id,image_url,image_type,is_primary,upload_date,file_size,resolution
1,1,https://example.com/properties/1/image_1.jpg,Bathroom,True,2025-08-23,657462,2560x1440
2,1,https://example.com/properties/1/image_2.jpg,Amenities,False,2025-08-23,1030259,2560x1440
3,1,https://example.com/properties/1/image_3.jpg,Bedroom,False,2025-08-23,1810505,3840x2160
4,1,https://example.com/properties/1/image_4.jpg,Balcony,False,2025-08-23,2714483,2560x1440
5,1,https://example.com/properties/1/image_5.jpg,Amenities,False,2025-08-23,4388458,3840x2160
6,1,https://example.com/properties/1/image_6.jpg,Kitchen,False,2025-08-23,1424263,1920x1080
7,1,https://example.com/properties/1/image_7.jpg,Balcony,False,2025-08-23,2598818,1920x1080
8,1,https://example.com/properties/1/image_8.jpg,Interior,False,2025-08-23,573776,2560x1440
9,1,https://example.com/properties/1/image_9.jpg,Kitchen,False,2025-08-23,1258417,1920x1080
10,1,https://example.com/properties/1/image_10.jpg,Kitchen,False,2025-08-23,764030,1920x1080
11,1,https://example.com/properties/1/image_11.jpg,Balcony,False,2025-08-23,4101363,3840x2160
12,1,https://example.com/properties/1/image_12.jpg,Amenities,False,2025-08-23,642620,1920x1080
13,1,https://example.com/properties/1/image_13.jpg,Exterior,False,2025-08-23,4479023,3840x2160
14,1,https://example.com/properties/1/image_14.jpg,Amenities,False,2025-08-23,4532171,1920x1080
15,2,https://example.com/properties/2/image_1.jpg,Bathroom,True,2025-08-23,1058239,3840x2160
16,2,https://example.com/properties/2/image_2.jpg,Bathroom,False,2025-08-23,1471647,1920x1080
17,2,https://example.com/properties/2/image_3.jpg,Balcony,False,2025-08-23,2346575,3840x2160
18,2,https://example.com/properties/2/image_4.jpg,Bedroom,False,2025-08-23,4178652,2560x1440
19,2,https://example.com/properties/2/image_5.jpg,Interior,False,2025-08-23,4811975,1920x1080
20,2,https://example.com/properties/2/image_6.jpg,Living Room,False,2025-08-23,4299332,2560x1440
21,2,https://example.com/properties/2/image_7.jpg,Living Room,False,2025-08-23,1565411,1920x1080
22,2,https://example.com/properties/2/image_8.jpg,Exterior,False,2025-08-23,3431997,3840x2160
